Age Group (copy),Age Group,label position,Female,Age group label,age,Calculation1,Female  ,Male,Number of Records,Year,label
35 to 39,35 to 39,,328K,,,35,328K,336K,1,2011,
40 to 44,40 to 44,,305K,40 to 44,,40,305K,305K,1,2011,
45 to 49,45 to 49,,283K,,,45,283K,274K,1,2011,
50 to 54,50 to 54,,233K,50 to 54,,50,233K,228K,1,2011,
55 to 59,55 to 59,,190K,,,55,190K,182K,1,2011,
60 to 64,60 to 64,,177K,60 to 64,,60,177K,166K,1,2011,
65 to 69,65 to 69,,136K,,,65,136K,121K,1,2011,
70 to 74,70 to 74,,116K,70 to 74,,70,116K,101K,1,2011,
75 to 79,75 to 79,-510000,97K,,,75,97K,80K,1,2011,
80 to 84,80 to 84,,78K,80 to 84,,80,78K,54K,1,2011,
85 and up,85 and up,,83K,,,85,83K,40K,1,2011,
